"Time","Region Code","Region","Number of dwellings【number of dwelling units】","Annotation"
"2018","21000","Gifu-ken","893900",""
"2018","22000","Shizuoka-ken","1714700",""
"2018","23000","Aichi-ken","3481800",""
"2018","24000","Mie-ken","853700",""
"2018","25000","Shiga-ken","626000",""
"2018","26000","Kyoto-fu","1338300",""
"2018","27000","Osaka-fu","4680200",""
"2018","28000","Hyogo-ken","2680900",""
"2018","29000","Nara-ken","617600",""
"2018","30000","Wakayama-ken","485200",""
"2018","31000","Tottori-ken","256600",""
"2018","32000","Shimane-ken","314200",""
"2018","33000","Okayama-ken","916300",""
"2018","34000","Hiroshima-ken","1430700",""
"2018","35000","Yamaguchi-ken","719900",""
"2018","36000","Tokushima-ken","380700",""
"2018","37000","Kagawa-ken","487700",""
"2018","38000","Ehime-ken","714300",""
"2018","39000","Kochi-ken","391600",""
"2018","40000","Fukuoka-ken","2581200",""
"2018","41000","Saga-ken","352100",""
"2018","42000","Nagasaki-ken","659500",""
"2018","43000","Kumamoto-ken","813700",""
"2018","44000","Oita-ken","581800",""
"2018","45000","Miyazaki-ken","546400",""
"2018","46000","Kagoshima-ken","879400",""
"2018","47000","Okinawa-ken","652600",""
"2023","01000","Hokkaido","2888500",""
"2023","02000","Aomori-ken","590300",""
"2023","03000","Iwate-ken","579400",""
"2023","04000","Miyagi-ken","1129200",""
"2023","05000","Akita-ken","440600",""
"2023","06000","Yamagata-ken","455400",""
"2023","07000","Fukushima-ken","862900",""
"2023","08000","Ibaraki-ken","1390900",""
"2023","09000","Tochigi-ken","971000",""
"2023","10000","Gumma-ken","967400",""
"2023","11000","Saitama-ken","3555100",""
"2023","12000","Chiba-ken","3191100",""
"2023","13000","Tokyo-to","8201400",""
"2023","14000","Kanagawa-ken","4765000",""
"2023","15000","Niigata-ken","1015200",""
"2023","16000","Toyama-ken","473900",""
"2023","17000","Ishikawa-ken","554000",""
"2023","18000","Fukui-ken","341400",""
"2023","19000","Yamanashi-ken","427000",""
"2023","20000","Nagano-ken","1039600",""
"2023","21000","Gifu-ken","924100",""
"2023","22000","Shizuoka-ken","1774100",""
"2023","23000","Aichi-ken","3664700",""
"2023","24000","Mie-ken","873500",""
"2023","25000","Shiga-ken","664200",""
"2023","26000","Kyoto-fu","1372200",""
"2023","27000","Osaka-fu","4928600",""
"2023","28000","Hyogo-ken","2798000",""
"2023","29000","Nara-ken","639500",""
"2023","30000","Wakayama-ken","495600",""
"2023","31000","Tottori-ken","262300",""
"2023","32000","Shimane-ken","320300",""
"2023","33000","Okayama-ken","955400",""
"2023","34000","Hiroshima-ken","1465500",""
"2023","35000","Yamaguchi-ken","726400",""
"2023","36000","Tokushima-ken","389200",""
"2023","37000","Kagawa-ken","492800",""
"2023","38000","Ehime-ken","736800",""
"2023","39000","Kochi-ken","388100",""
"2023","40000","Fukuoka-ken","2703300",""
"2023","41000","Saga-ken","367900",""
"2023","42000","Nagasaki-ken","655000",""
"2023","43000","Kumamoto-ken","851100",""
"2023","44000","Oita-ken","603300",""
"2023","45000","Miyazaki-ken","556800",""
"2023","46000","Kagoshima-ken","899600",""
"2023","47000","Okinawa-ken","699400",""
