"ID";"Regions";"Periods";"NumberOfMuseums_1";"UpTo2500Visits_2";"Between2500And10000Visits_3";"Between10000And25000Visits_4";"Between25000And50000Visits_5";"Between50000And100000Visits_6";"k_100000AndMoreVisits_7";"TotalVisits_8";"PaidVisits_9";"MuseumCardAndFreeVisits_10";"AverageNumberOfVisitsPerMuseum_11";"ForeignVisits_12";"TotalEmployees_13";"OnPayroll_14";"OtherPaidStaff_15";"TotalFTE_16";"OnPayroll_17";"OtherPaidStaff_18";"NumberOfVolunteers_19";"FTEs_20"
"62";"PV22";"2007JJ00";"      29";"      21";"      45";"      17";"       3";"      10";"       3";"     573";"     455";"     118";"      20";"     143";"     192";"     151";"      40";"     132";"     115";"      17";"     856";"     120"
"63";"PV22";"2009JJ00";"      29";"      21";"      45";"      17";"       3";"       7";"       7";"     624";"     469";"     155";"      22";"       4";"     180";"     153";"      27";"     126";"     116";"       9";"     927";"     118"
"64";"PV23";"1995JJ00";"      69";"      38";"      23";"      23";"      13";"       1";"       1";"    1037";"     659";"     378";"      15";"       .";"     230";"     185";"      45";"     191";"     150";"      41";"       .";"       ."
"65";"PV23";"1997JJ00";"      88";"      42";"      30";"      14";"      11";"       1";"       2";"    1131";"     775";"     356";"      13";"       .";"     421";"     283";"     139";"     310";"     201";"     109";"       .";"       ."
"66";"PV23";"1999JJ00";"      82";"      40";"      27";"      18";"      13";"       0";"       2";"    1039";"     528";"     511";"      13";"     140";"     296";"     228";"      68";"     193";"     160";"      33";"       .";"       ."
"67";"PV23";"2001JJ00";"      84";"      44";"      27";"      18";"      10";"       0";"       1";"     813";"     408";"     405";"      10";"      69";"     365";"     226";"     138";"     200";"     141";"      59";"    1748";"     192"
"68";"PV23";"2003JJ00";"      72";"      40";"      35";"      11";"      13";"       1";"       0";"     652";"     435";"     217";"       9";"      87";"     330";"     250";"      80";"     208";"     155";"      53";"    2279";"     284"
"69";"PV23";"2005JJ00";"      72";"      38";"      28";"      19";"      14";"       1";"       -";"     764";"     477";"     288";"      11";"      84";"     399";"     275";"     124";"     254";"     203";"      51";"    2151";"     234"
"70";"PV23";"2007JJ00";"      67";"      31";"      34";"      18";"      15";"       1";"       -";"     739";"     487";"     252";"      11";"      88";"     350";"     276";"      74";"     248";"     208";"      40";"    2071";"     245"
"71";"PV23";"2009JJ00";"      74";"      31";"      38";"      16";"      14";"       1";"       0";"     840";"     507";"     332";"      11";"      25";"     386";"     303";"      83";"     255";"     218";"      37";"    2373";"     299"
"72";"PV25";"1995JJ00";"     101";"      24";"      38";"      19";"      10";"       4";"       6";"    2822";"    2312";"     510";"      28";"       .";"     770";"     640";"     130";"     614";"     515";"      99";"       .";"       ."
"73";"PV25";"1997JJ00";"     130";"      38";"      28";"      16";"      10";"       4";"       4";"    2970";"    2418";"     552";"      23";"       .";"     913";"     757";"     156";"     665";"     529";"     136";"       .";"       ."
"74";"PV25";"1999JJ00";"     132";"      36";"      24";"      23";"      10";"       4";"       4";"    2744";"    2060";"     684";"      21";"     485";"     942";"     782";"     160";"     621";"     519";"     102";"       .";"       ."
"75";"PV25";"2001JJ00";"     124";"      37";"      27";"      19";"      10";"       3";"       4";"    2675";"    1933";"     742";"      22";"     440";"    1086";"     836";"     250";"     668";"     559";"     109";"    2493";"     305"
"76";"PV25";"2003JJ00";"     121";"      32";"      30";"      25";"       6";"       3";"       5";"    2738";"    1938";"     800";"      23";"     625";"    1090";"     861";"     229";"     689";"     573";"     116";"    3052";"     355"
"77";"PV25";"2005JJ00";"     110";"      33";"      27";"      24";"       7";"       3";"       6";"    2892";"    1946";"     946";"      26";"     569";"    1021";"     859";"     162";"     702";"     618";"      84";"    3218";"     422"
"78";"PV25";"2007JJ00";"     104";"      34";"      23";"      25";"       9";"       3";"       7";"    2707";"    1809";"     898";"      26";"     578";"    1075";"     864";"     211";"     774";"     633";"     141";"    2783";"     412"
"79";"PV25";"2009JJ00";"     114";"      27";"      31";"      25";"       9";"       4";"       5";"    2894";"    1837";"    1057";"      25";"     214";"    1213";"    1023";"     190";"     806";"     705";"     101";"    3744";"     723"
"80";"PV26";"1995JJ00";"      39";"      23";"      23";"      23";"      13";"      10";"       8";"    1001";"     598";"     403";"      26";"       .";"     420";"     360";"      60";"     278";"     252";"      26";"       .";"       ."
"81";"PV26";"1997JJ00";"      45";"      27";"      27";"      20";"       7";"      16";"       4";"    1089";"     565";"     524";"      24";"       .";"     379";"     324";"      55";"     279";"     231";"      49";"       .";"       ."
