"ID";"Regions";"Periods";"NumberOfOrganisations_1";"TheatreHalls_2";"StadiumsAndMultiPurposeHalls_3";"InTheatreHalls_4";"InStadiumsAndMultiPurposeHalls_5";"TotalPerformances_6";"TheatrePerformances_7";"MusicalPerformances_8";"DancePerformances_9";"MusicTheatrePerformances_10";"CabaretPerformances_11";"OtherPerformances_12";"TotalAttendance_13";"TheatrePerformances_14";"MusicalPerformances_15";"DancePerformances_16";"MusicTheatrePerformances_17";"CabaretPerformances_18";"AttendanceOtherPerformances_19"
"158";"PV21   ";"2007JJ00";"      10";"      20";"       2";"    7104";"    1560";"    1274";"     317";"     449";"      74";"     106";"     223";"     106";"     359";"      57";"     135";"      12";"      53";"      80";"      21"
"159";"PV21   ";"2008JJ00";"      10";"      15";"       4";"    6799";"     570";"    1493";"     421";"     423";"     100";"     132";"     284";"     133";"     383";"      63";"     114";"      22";"      59";"      96";"      28"
"160";"PV21   ";"2009JJ00";"      11";"      16";"       2";"    6605";"    1850";"    1869";"     338";"     744";"     111";"     238";"     259";"     179";"     452";"      51";"     141";"      17";"     115";"      88";"      39"
"161";"PV21   ";"2010JJ00";"      11";"      16";"       2";"    7135";"    1850";"    1854";"     495";"     583";"     105";"     226";"     271";"     174";"     494";"      71";"     148";"      26";"     115";"      91";"      44"
"162";"PV21   ";"2011JJ00";"      12";"      17";"       2";"    6185";"    1850";"    1945";"     573";"     584";"      98";"     216";"     322";"     152";"     487";"      79";"     136";"      23";"     102";"     108";"      40"
"163";"PV21   ";"2012JJ00";"      13";"      18";"       2";"    6835";"    1850";"    1540";"     453";"     547";"      48";"     126";"     236";"     130";"     327";"      62";"     110";"      11";"      46";"      75";"      24"
"164";"PV21   ";"2013JJ00";"      12";"      17";"       2";"    7259";"    1850";"    1393";"     383";"     417";"      66";"     123";"     259";"     145";"     363";"      76";"     106";"      16";"      46";"      88";"      30"
"165";"PV21   ";"2014JJ00";"      12";"      21";"       2";"    7470";"    1600";"    1184";"     255";"     379";"      52";"      88";"     200";"     210";"     247";"      31";"      68";"      14";"      18";"      44";"      72"
"166";"PV21   ";"2015JJ00";"      12";"      20";"       3";"    7955";"    2100";"    1291";"     264";"     389";"      37";"     185";"     206";"     211";"     261";"      34";"      75";"       7";"      27";"      53";"      64"
"167";"PV21   ";"2016JJ00";"      11";"      18";"       2";"    7671";"    1850";"    1358";"     298";"     510";"      58";"      99";"     253";"     141";"     281";"      50";"     107";"       9";"      24";"      67";"      25"
"168";"PV21   ";"2017JJ00";"      10";"      19";"       2";"    8296";"    1850";"    1438";"     208";"     571";"      76";"     159";"     200";"     223";"     294";"      30";"     127";"      16";"      42";"      50";"      29"
"169";"PV21   ";"2018JJ00";"      12";"      23";"       4";"    9281";"    2950";"    1716";"     254";"     685";"      83";"     217";"     218";"     258";"     354";"      40";"     144";"      16";"      61";"      60";"      33"
"170";"PV21   ";"2019JJ00";"      12";"      22";"       6";"    8832";"    3900";"    1608";"     321";"     584";"      70";"     207";"     242";"     183";"     344";"      47";"     134";"      13";"      56";"      69";"      24"
"171";"PV21   ";"2020JJ00";"      11";"      19";"       4";"    8192";"    2800";"     761";"     134";"     291";"      45";"     109";"     115";"      65";"     155";"      25";"      61";"       8";"      23";"      30";"       8"
"172";"PV21   ";"2021JJ00";"      11";"      20";"       4";"    8292";"    2800";"     582";"     146";"     188";"       .";"      70";"      96";"       .";"      58";"       .";"      23";"       .";"       7";"      12";"       4"
"173";"PV21   ";"2022JJ00";"      11";"      22";"       .";"    8150";"    2400";"    1298";"     198";"     602";"      53";"     168";"     167";"     110";"     270";"      26";"     137";"       9";"      38";"      48";"      13"
"174";"PV21   ";"2023JJ00";"      11";"      20";"       .";"    8421";"       .";"    1488";"     166";"     616";"      52";"     120";"     122";"     412";"     364";"      36";"     155";"       .";"      35";"      34";"       ."
"175";"PV22   ";"1999JJ00";"       9";"      13";"       9";"    3939";"    1400";"     886";"     320";"     294";"      36";"      67";"     143";"      26";"     197";"      46";"      64";"       7";"      25";"      49";"       5"
"176";"PV22   ";"2000JJ00";"       9";"      13";"       9";"    3939";"    1400";"     752";"     245";"     213";"      56";"      61";"     136";"      41";"     167";"      31";"      43";"       7";"      29";"      43";"      13"
