movie,movieLabel,narrative_location,narrative_locationLabel,lng,lat,genreLabel
http://www.wikidata.org/entity/Q14832300,Devil Goddess,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,action film
http://www.wikidata.org/entity/Q15973405,The Adventurer of Chad,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q16209165,The Black Decameron,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q16652696,The Children's Republic,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q16654879,Q16654879,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q16734168,Ties That Bind,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q16740198,Concerning Violence,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q17508302,Beasts of No Nation,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q17640263,A Missionary,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q18151554,The Last Face,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q18291017,I Am with You,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q32424,Map of the Human Heart,http://www.wikidata.org/entity/Q16,Canada,-109,56,drama film
http://www.wikidata.org/entity/Q74014,Ginger Snaps Back,http://www.wikidata.org/entity/Q16,Canada,-109,56,drama film
http://www.wikidata.org/entity/Q113149,Take This Waltz,http://www.wikidata.org/entity/Q16,Canada,-109,56,drama film
http://www.wikidata.org/entity/Q135315,The Sweet Hereafter,http://www.wikidata.org/entity/Q16,Canada,-109,56,drama film
http://www.wikidata.org/entity/Q163896,Fast Company,http://www.wikidata.org/entity/Q16,Canada,-109,56,drama film
http://www.wikidata.org/entity/Q163896,Fast Company,http://www.wikidata.org/entity/Q16,Canada,-109,56,action film
http://www.wikidata.org/entity/Q217552,X-Men Origins: Wolverine,http://www.wikidata.org/entity/Q16,Canada,-109,56,action film
http://www.wikidata.org/entity/Q219776,X2,http://www.wikidata.org/entity/Q16,Canada,-109,56,fantasy film
http://www.wikidata.org/entity/Q219776,X2,http://www.wikidata.org/entity/Q16,Canada,-109,56,action film
http://www.wikidata.org/entity/Q282666,The Sky Pilot,http://www.wikidata.org/entity/Q16,Canada,-109,56,drama film
http://www.wikidata.org/entity/Q384524,Anne of Green Gables,http://www.wikidata.org/entity/Q16,Canada,-109,56,drama film
http://www.wikidata.org/entity/Q502748,The Trap,http://www.wikidata.org/entity/Q16,Canada,-109,56,drama film
http://www.wikidata.org/entity/Q512247,I Confess,http://www.wikidata.org/entity/Q16,Canada,-109,56,drama film
http://www.wikidata.org/entity/Q549012,The Barbarian Invasions,http://www.wikidata.org/entity/Q16,Canada,-109,56,drama film
http://www.wikidata.org/entity/Q551823,Scanners,http://www.wikidata.org/entity/Q16,Canada,-109,56,action film
http://www.wikidata.org/entity/Q604192,Atanarjuat: The Fast Runner,http://www.wikidata.org/entity/Q16,Canada,-109,56,drama film
http://www.wikidata.org/entity/Q604192,Atanarjuat: The Fast Runner,http://www.wikidata.org/entity/Q16,Canada,-109,56,fantasy film
http://www.wikidata.org/entity/Q635569,Dead Ringers,http://www.wikidata.org/entity/Q16,Canada,-109,56,drama film
http://www.wikidata.org/entity/Q640272,Daydream Nation,http://www.wikidata.org/entity/Q16,Canada,-109,56,drama film
